URI,SmallURI,LargeURI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-Tdgq3g7/0/8fc883c5/O/arolia osmia.jpg,,,100%,image-web,,,,,,,,
# Dufourea antennae,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-QdKB4rb/0/cba67c5f/M/antennal position-M.jpg,,,100%,image-web,,,,AntLow,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-43jKWBF/0/ee4f5f9c/M/ant normal-M.jpg,,,100%,image-web,,,,AntLow,no,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-wDDW3Vx/0/4984a0c2/M/ant low-M.jpg,,,100%,image-web,,,,AntLow,yes,,,
# Parapsidal,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-W9XqZX5/0/7e1afd60/L/parapsidal top-L.jpg,,,100%,image-web,,,,Parap,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-4Bq2kCx/0/5bbf3279/M/parapsidal%20line-M.jpg,,,100%,image-web,,,,Parap,linear,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-fLdPX84/0/a756c7dc/M/parapsidal line dot-M.jpg,,,100%,image-web,,,,Parap,dot,,,
# WingCells,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-M4cdtrq/0/613755e5/XL/hair in closed cells-XL.jpg,,,100%,image-web,,,,WingCells,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-P4XDNZ2/0/0a31d41d/X4/Eucera%20wing%20hairs-X4.jpg,,,100%,image-web,,,,WingCells,yes,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-kWpVGSS/0/092a26be/M/hair in closed cells anthophora-M.jpg,,,100%,image-web,,,,WingCells,no,,,
# Ashmeadiella,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-QdmQbjt/1/6b8ad3ef/O/ashmeadiella.jpg,,,100%,image-web,,,,Ash,yes,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-FV479Ch/1/641cc316/L/ashmeadiella%20tergumx-L.jpg,,,100%,image-web,,,,Ash,yes,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-DLsPzdj/0/bd6cddec/L/ashmeadiella.male-L.jpg,,,100%,image-web,,,,Ash,yes,,,
# Taxon images...,,,,,,,,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-genus/i-p9w2G3G/0/c6fa2a31/M/Lasioglossum%20sysimbrii.6-19-20.Finley-M.jpg,,,100%,image-web,,<i>Lasioglossum sysimbrii</i>,Lasioglossum,,,,,
#,,,,,,,,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/80720540/large.jpg,,,100%,image-web,,,Lasioglossum,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Lasioglossum/i-dkv7c34/1/864e3c48/L/06242110636-L.jpg,,,100%,image-web,,"Lasioglossum, subgenus dialictus. Note the metallic integument",Lasioglossum,,,,,
# Taxon HTML files…,,,,,,,,,,,,
# Lasioglossum,,,,,,,,,,,,
resources/text/TaxonLasio.html,,,100%,html-local,,"Description, abundance, diversity",Lasioglossum,,,,,
#,,,,,,,,,,,,
resources/text/TaxonHalictus.html,,,100%,html-local,,"Description, abundance, diversity",Halictus,,,,,
https://inaturalist-open-data.s3.amazonaws.com/photos/80720540/large.jpg,,,100%,image-web,,,Lasioglossum,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Lasioglossum/i-dkv7c34/1/864e3c48/L/06242110636-L.jpg,,,100%,image-web,,,Lasioglossum,,,,,
https://photos.smugmug.com/Misc/n-WzFZFQ/IDKey-Lasioglossum/i-bS7R2qk/0/700e975c/L/062019_2751-L.jpg,,,100%,image-web,,,Lasioglossum,,,,,
